zone_id,count,centroid_lat,centroid_lng,sample_addresses,google_maps_link
Zone D,122,29.436425669446354,-98.52015419053357,"2422 SPICEWOOD DR, SAN ANTONIO, TX 78213 | 2402 VALENCIA, SAN ANTONIO, TX 78237 | 4330 ROARK DR, SAN ANTONIO, TX 78219","https://www.google.com/maps/search/?api=1&query=29.436425669446354,-98.52015419053357"
Zone C,41,29.502384063195898,-98.35619169080704,"9802 COPPERWAY, CONVERSE, TX 78109 | 4130 TROPICAL DR, SAN ANTONIO, TX 78218 | 6823 EMERALD VALLEY, SAN ANTONIO, TX 78242","https://www.google.com/maps/search/?api=1&query=29.502384063195898,-98.35619169080704"
Zone B,36,29.51356479036777,-98.6926053974461,"8902 LAGUNA FALLS, SAN ANTONIO, TX 78251 | 12443 ALSTROEMERIA, SAN ANTONIO, TX 78253 | 14507 GOLD RUSH PASS, SAN ANTONIO, TX 78254","https://www.google.com/maps/search/?api=1&query=29.51356479036777,-98.6926053974461"
Zone E,26,29.56900647139211,-98.40377935556192,"10822 EDGECREST DR, SAN ANTONIO, TX 78217 | 13203 MONTE RIO, SAN ANTONIO, TX 78233 | 3535 OAKHORNE ST, SAN ANTONIO, TX 78247","https://www.google.com/maps/search/?api=1&query=29.56900647139211,-98.40377935556192"
Zone F,21,29.41473865877543,-98.6817635856388,"10342 OAKWOOD CREST, SAN ANTONIO, TX 78245 | 10222 FOSSIL VLY, SAN ANTONIO, TX 78245 | 3233 NW LOOP 410, SAN ANTONIO, TX 78213","https://www.google.com/maps/search/?api=1&query=29.41473865877543,-98.6817635856388"
Zone J,13,29.61202597352739,-98.50832040758563,"24219 GAZANIA BLF, SAN ANTONIO, TX 78260 | 1403 BARKMORE, SAN ANTONIO, TX 78258 | 14239 SAGE TRAIL, SAN ANTONIO, TX 78231","https://www.google.com/maps/search/?api=1&query=29.61202597352739,-98.50832040758563"
Zone H,12,29.35657477174117,-98.61797836593576,"8219 RADIANT STAR, SAN ANTONIO, TX 78252 | 8431 CREEK BEND, SAN ANTONIO, TX 78242 | 6806 COUGAR COVE, SAN ANTONIO, TX 78242","https://www.google.com/maps/search/?api=1&query=29.35657477174117,-98.61797836593576"
Zone I,8,29.38661761121375,-98.37995225995624,"5815 HEMATITE RIM, SAN ANTONIO, TX 78222 | 2426 TUCKER DR, SAN ANTONIO, TX 78222 | 6010 PLEASANT LAKE, SAN ANTONIO, TX 78222","https://www.google.com/maps/search/?api=1&query=29.38661761121375,-98.37995225995624"
Zone R,8,29.360901368995123,-98.428225875278,"315 JUNIPER ST, SAN ANTONIO, TX 78223 | 4210 GOLDEN SPICE DR, SAN ANTONIO, TX 78222 | 154 BANBRIDGE AVE, SAN ANTONIO, TX 78223","https://www.google.com/maps/search/?api=1&query=29.360901368995123,-98.428225875278"
Zone U,6,29.667783554287997,-98.45602178777601,"24210 MOUNTAIN BEND, SAN ANTONIO, TX 78258 | 23418 SEVEN WINDS, SAN ANTONIO, TX 78258 | 23418 SEVEN WINDS, SAN ANTONIO, TX 78258","https://www.google.com/maps/search/?api=1&query=29.667783554287997,-98.45602178777601"
Zone K,5,29.180048275642,-98.40517736601541,"3907 ANAQUA DR, ELMENDORF, TX 78112 | 23139 WHITE HICKORY, ELMENDORF, TX 78112 | 4807 LOST HILLS DR, ELMENDORF, TX 78112","https://www.google.com/maps/search/?api=1&query=29.180048275642,-98.40517736601541"
Zone M,4,29.17492330260425,-98.45068029981725,"22819 MASON PASS, SAN ANTONIO, TX 78264 | 3191 WOODFIN DR, SAN ANTONIO, TX 78264 | 3191 WOODFIN DR, SAN ANTONIO, TX 78264","https://www.google.com/maps/search/?api=1&query=29.17492330260425,-98.45068029981725"
Zone N,4,29.560514912453,-98.61865580163675,"13115 WILLOWTHORN LN, SAN ANTONIO, TX 78249 | 6119 AMHERST BAY, SAN ANTONIO, TX 78249 | 11731 SPRING LIFE DR, SAN ANTONIO, TX 78249","https://www.google.com/maps/search/?api=1&query=29.560514912453,-98.61865580163675"
Zone A,3,29.415800284559666,-98.61723811215633,"711 S BROWNLEAF ST, SAN ANTONIO, TX 78227 | 6459 TAHOKA ST, SAN ANTONIO, TX 78227 | 6531 TAHOKA ST, SAN ANTONIO, TX 78227","https://www.google.com/maps/search/?api=1&query=29.415800284559666,-98.61723811215633"
Zone L,3,29.687926651818998,-98.64384072524366,"25859 GREEN TER, SAN ANTONIO, TX 78255 | 7659 MISSION LEDGE, BOERNE, TX 78015 | 7755 SAN MIRIENDA, BOERNE, TX 78015","https://www.google.com/maps/search/?api=1&query=29.687926651818998,-98.64384072524366"
Zone P,3,29.43122760519334,-98.79914844223732,"730 FIRENZE AVE, SAN ANTONIO, TX 78245 | 15111 PINTAIL, SAN ANTONIO, TX 78253 | 15210 REDBIRD MNR, SAN ANTONIO, TX 78253","https://www.google.com/maps/search/?api=1&query=29.43122760519334,-98.79914844223732"
Zone Q,3,29.587309438248,-98.33136112408766,"8122 ROSESPUR PARK, SCHERTZ, TX 78154 | 16410 KENTUCKY RIDGE, SCHERTZ, TX 78154 | 7906 BELMONT RDG, SCHERTZ, TX 78154","https://www.google.com/maps/search/?api=1&query=29.587309438248,-98.33136112408766"
Zone T,3,29.592778869222002,-98.47947973161267,"305 HILL COUNTRY LN, SAN ANTONIO, TX 78232 | 305 HILL COUNTRY LN, SAN ANTONIO, TX 78232 | 30 AMBER FRST, SAN ANTONIO, TX 78232","https://www.google.com/maps/search/?api=1&query=29.592778869222002,-98.47947973161267"
Zone G,2,29.375285959772,-98.713617118186,"11354 FIRE CYN, SAN ANTONIO, TX 78252 | 11103 COUNTRY CANYON, SAN ANTONIO, TX 78252","https://www.google.com/maps/search/?api=1&query=29.375285959772,-98.713617118186"
Zone O,2,29.4908794173675,-98.45551865108601,"102 RUELLE LN, SAN ANTONIO, TX 78209 | 124 HARMON DR, SAN ANTONIO, TX 78209","https://www.google.com/maps/search/?api=1&query=29.4908794173675,-98.45551865108601"
Zone S,2,29.276855489353,-98.339114291503,"14411 ROCKHOUSE RD, ELMENDORF, TX 78112 | 7714 BIT CIR, ELMENDORF, TX 78112","https://www.google.com/maps/search/?api=1&query=29.276855489353,-98.339114291503"
Zone V,2,29.5240110276715,-98.252859292252,"11518 HANSONS FOREST, SCHERTZ, TX 78154 | 3116 PENCIL CHOLLA, SCHERTZ, TX 78154","https://www.google.com/maps/search/?api=1&query=29.5240110276715,-98.252859292252"
Zone W,2,29.6363415244805,-98.4202224996195,"3431 HEATHER BLF, SAN ANTONIO, TX 78259 | 20502 BLUE TRINITY, SAN ANTONIO, TX 78259","https://www.google.com/maps/search/?api=1&query=29.6363415244805,-98.4202224996195"
Zone X,2,29.326756749204,-98.694346702131,"10270 COMMERCE ST, ATASCOSA, TX 78002 | 10270 COMMERCE ST, ATASCOSA, TX 78002","https://www.google.com/maps/search/?api=1&query=29.326756749204,-98.694346702131"
Zone Y,1,29.589250377899,-98.699645868767,"10514 FAR REACHES LN, HELOTES, TX 78023","https://www.google.com/maps/search/?api=1&query=29.589250377899,-98.699645868767"
Zone Z,1,29.192144277834,-98.540552609705,"2010 SILVER MOUNTAIN, SAN ANTONIO, TX 78264","https://www.google.com/maps/search/?api=1&query=29.192144277834,-98.540552609705"
Zone [,1,29.705188791593,-98.481153074069,"822 COWHIDE DR, SAN ANTONIO, TX 78260","https://www.google.com/maps/search/?api=1&query=29.705188791593,-98.481153074069"
Zone \,1,29.559218678021,-98.483574975549,"12828 SAN PEDRO AVE, SAN ANTONIO, TX 78216","https://www.google.com/maps/search/?api=1&query=29.559218678021,-98.483574975549"
Zone ],1,29.360476769617,-98.736384716384,"12249 CASHTON, SAN ANTONIO, TX 78252","https://www.google.com/maps/search/?api=1&query=29.360476769617,-98.736384716384"
Zone ^,1,29.699440499215,-98.442864084712,"26952 RUSTIC BRK, SAN ANTONIO, TX 78261","https://www.google.com/maps/search/?api=1&query=29.699440499215,-98.442864084712"
Zone _,1,29.552019234553,-98.315945817757,"310 DE SOTO DR, UNIVERSAL CITY, TX 78148","https://www.google.com/maps/search/?api=1&query=29.552019234553,-98.315945817757"
Zone `,1,29.525480525854,-98.300471127271,"9710 FALCON BAY, CONVERSE, TX 78109","https://www.google.com/maps/search/?api=1&query=29.525480525854,-98.300471127271"
Zone a,1,29.316612298706,-98.469378977036,"10046 RUIDOSA, SAN ANTONIO, TX 78214","https://www.google.com/maps/search/?api=1&query=29.316612298706,-98.469378977036"
Zone b,1,29.233315565824,-98.456684088192,"19230 FM 1937, SAN ANTONIO, TX 78221","https://www.google.com/maps/search/?api=1&query=29.233315565824,-98.456684088192"
Zone c,1,29.710889373875,-98.50692097709,"730 SAN ANZA, SAN ANTONIO, TX 78260","https://www.google.com/maps/search/?api=1&query=29.710889373875,-98.50692097709"
Zone d,1,29.183488146116,-98.606057734754,"22915 SAVANNAH HTS, VON ORMY, TX 78073","https://www.google.com/maps/search/?api=1&query=29.183488146116,-98.606057734754"
Zone e,1,29.413455244537,-98.764361720677,"13715 SUNNYDALE PASS, SAN ANTONIO, TX 78245","https://www.google.com/maps/search/?api=1&query=29.413455244537,-98.764361720677"
Zone f,1,29.638547867603,-98.384047433206,"21236 BOULDER FLATS, SAN ANTONIO, TX 78266","https://www.google.com/maps/search/?api=1&query=29.638547867603,-98.384047433206"
Zone g,1,29.709831235698,-98.414520906421,"27715 RIATA RANCH DR, SAN ANTONIO, TX 78261","https://www.google.com/maps/search/?api=1&query=29.709831235698,-98.414520906421"
Zone h,1,29.314833417617,-98.384247220586,"10422 GREEN LAKE DR, SAN ANTONIO, TX 78223","https://www.google.com/maps/search/?api=1&query=29.314833417617,-98.384247220586"
Zone i,1,29.288801505312,-98.403988003236,"4331 STETSON RUN, SAN ANTONIO, TX 78223","https://www.google.com/maps/search/?api=1&query=29.288801505312,-98.403988003236"
Zone j,1,29.240743657417,-98.746747510544,"18610 LUCKEY RD, ATASCOSA, TX 78002","https://www.google.com/maps/search/?api=1&query=29.240743657417,-98.746747510544"
Zone k,1,29.56219265964,-98.668030303816,"9318 GRAND CEDAR, HELOTES, TX 78023","https://www.google.com/maps/search/?api=1&query=29.56219265964,-98.668030303816"
Zone l,1,29.592252034026,-98.557361118143,"124 WAGON TRAIL RD, SAN ANTONIO, TX 78231","https://www.google.com/maps/search/?api=1&query=29.592252034026,-98.557361118143"
Zone m,1,29.249136297334,-98.340417313167,"17503 JUAN CANTU DR, ELMENDORF, TX 78112","https://www.google.com/maps/search/?api=1&query=29.249136297334,-98.340417313167"
Zone n,1,29.311943349505,-98.435265122667,"10511 WELDER OAK, SAN ANTONIO, TX 78223","https://www.google.com/maps/search/?api=1&query=29.311943349505,-98.435265122667"
Zone o,1,29.466612671402,-98.463092149876,"118 DAVIS CT, SAN ANTONIO, TX 78209","https://www.google.com/maps/search/?api=1&query=29.466612671402,-98.463092149876"
Zone p,1,29.223815259035,-98.664290313451,"8475 JOHNSON, SOMERSET, TX 78069","https://www.google.com/maps/search/?api=1&query=29.223815259035,-98.664290313451"
